,message_id,actor_id,engagement_type,engagement_parent,text,univ_id,time_published,media_type,geo,index_text,keyN,tweet_counts,user_counts,gpt_label,manual_label,is_gt,label
357,2821282,2804,retweet,45354e835897a846f52251e63e04c7c71fd0ac528fd2a390d9329ebca69bbdf3,"RT @Antiwarcom Philippines in Talks With US, Australia on Joint South China Sea Patrols US says attacks on Philippine vessels in disputed waters will invoke the US-Philippine Mutual Defense Treaty by Dave DeCamp @DecampDave #Philippines #Australia #SouthChinaSea #China https://t.co/IyzxT0BUeI https://t.co/Net6w95fyr",,1677193037,Twitter,,attacks australia china china dave decamp defense disputed invoke joint mutual patrols philippine philippine philippines rt sea south talks treaty vessels waters,22,13,115,supportive,,0,
361,3317063,2804,retweet,4f9195a7c490d437f6eb5944f476ff7c12bc5cc2ec1ad125b3990d9d02b8a971,"RT @CarlosAKatigbak If i read between the lines of the Senate hearing on EDCA. The actual intention of this agreement is slowly being unmasked. The original intention is not what it seems, esp how military US counterparts have pronounced in media. https://t.co/CmNxSiyRpC",,1677804677,Twitter,,actual agreement counterparts edca esp hearing intention intention lines media military original pronounced read rt senate slowly unmasked,18,10,115,neutral,opposing,1,
362,2707815,2804,retweet,4e30d61aaefbb2188c5286a41f3b622e2fb306935f83bac184f6d617ef194db0,"RT ęmingster Lawmakers: Ok in Edca and RCEP, but not in ICC because it is said to be contrary to soberenya Ok in mandory ROTC but is said to be angry with hizing",,1677649230,Twitter,,angry contrary edca hizing icc lawmakers mandory rcep rotc rt soberenya ęmingster,12,12,115,neutral,,0,
367,5879441,2804,retweet,2efe16d8733b642997d0a8a9a6bd84c94d1d00dc4ad695e1fac79afa2c11743a,"RT @PhilstarNews “Sure, cut aid and we will also end EDCA here. Let’s not conduct any exercises anymore. You are just using us so you can raid Taiwan. What kind of relationship is this? One-way?” the senator said in Filipino. https://t.co/NFQhD8GHsa",,1680309941,Twitter,,aid anymore conduct cut edca end exercises filipino kind raid relationship rt senator taiwan,14,12,115,opposing,opposing,1,
368,2240182,2804,retweet,ff263120fbd0094174ace5d4109b7058d4d7b091847d21159cdb5cf145935f22,"RT @bobitiglao Duterte: ""EDCA bases are platforms for war. "" But at whose national interest? Definitely not ours."" Snubbed by media, Duterte warns of EDCA bases https://t.co/3N7muVPHmw",,1680474174,Twitter,,bases bases duterte duterte edca edca interest media national platforms rt snubbed war warns,14,53,115,opposing,,0,
369,6868993,2804,retweet,54c459054aec44975dd5b89d6462d3c6ace7a36f54fba6ef15188a7e28c0fd0e,"RT ARTVERVillam What is EDCA, and why should we be concerned that there are the most ancient NEW EDCA sites in the country? Athread - EDCA or Enhanced Defense Cooperation Agrement agreement of US and PH to maintain the US military system and the US and military bases of its PH. thps:/tcocencencencenc/Vo81bH",,1681119761,Twitter,,agreement agrement ancient artvervillam athread bases concerned cooperation country defense edca edca edca enhanced maintain military military ph ph rt sites system tcocencencencenc thps vo81bh,25,89,115,opposing,,0,
379,7081989,2804,retweet,b08b92f7ba8d3f1ca4f002ae9f602be56117d84034a9aeb6f050a04ec5846869,"RT @wallacemick As the #US gains access to 4 new Military Bases in the #Philippines - another aggressive move against #China - Renato Reyes Jr, Sec Gen of the Bayan Coalition said - 'The US presence itself inflicts harm, regardless of whether it leads to War' - ""It violates our Sovereignty""...",,1680918823,Twitter,,access aggressive bases bayan china coalition gains gen harm inflicts jr leads military move presence renato reyes rt sec sovereignty violates war,22,256,115,opposing,,0,
388,3581970,2804,retweet,5a8d6d8d22912c98df9ecfa72a8b3d35adac3d329ce7cfde4f3c59cc46dcae84,"RT @TishaCM If you are concerned of the plight of the 150,000 OFWs in Taiwan, you should fear more the fact that the EDCA sites and the presence of US forces in Philippine soil put 110M Filipino residents in harm’s way should war ensues between China and US-backed Taiwan.",,1681903091,Twitter,,000 110m 150 backed china concerned edca ensues fact fear filipino forces harm ofws philippine plight presence put residents rt sites soil taiwan taiwan war,25,11,115,opposing,opposing,1,
389,6411695,2804,retweet,72212a31d8a5364171827707c8847d75238fb665ebb1aa153c6cecfc83fd2ada,RT @bobitiglao EDCA gives US two international airports to use for war with China https://t.co/8e0pNYTlWk,,1681902605,Twitter,,airports china edca international rt war,6,38,115,opposing,opposing,1,
412,1915783,2804,retweet,7dd83427c92c9adcfecd704b50bcd23874cb67487b9e80735c79682f2c6c208a,RT @RebeccaYChan Any country which hosts US military bases is an enemy in case of war. The Philippines should have stayed neutral and refused the American warmongers. They are only in Asia to warmonger and nothing else. Filipinos are nothing more than cannon fodder for the Americans.,,1683351864,Twitter,,american americans asia bases cannon case country enemy filipinos fodder hosts military neutral philippines refused rt stayed war warmonger warmongers,20,126,115,opposing,,0,
425,2449814,41097,retweet,609a89c73fbb31da36beadc7ff35806b1b3c7d5958e754e0d64a213a2b8ee068,"RT Šcarlabrews After all, PBBM again blames EDCA, let be  known of 2014 that kind of harmony. Who's the president of that time??",,1675511563,Twitter,,blames edca harmony kind pbbm president rt time šcarlabrews,9,29,32,opposing,,0,
426,3741998,41097,retweet,c9ad64bcb1dc84d308cd077f277775437782dee3d07a7b6b71bf6e86eefcbdae,"RT @LakasNgTimog When we complain about EDCA today, some people reply w/ Du30 quotes from years ago. I don’t get it. 1st, it DOES NOT address the CURRENT issue of MORE BASES. 2nd, it’s like saying OK lang yan kasi OK nga kay Du30 dati. Hindi ba pwedeng pareho silang mali? Susmaryosep.",,1675418917,Twitter,,1st 2nd address ago ba bases complain current dati don du30 du30 edca hindi issue kasi kay lang mali nga pareho people pwedeng quotes reply rt silang susmaryosep today yan years,31,12,32,opposing,,0,
427,666377,41097,retweet,cda96398047d62dfa14267cbebb1ab319dd57520a39d7204c537ea63c47b0a90,"RT @iamwhatiam300 People are confused...EDCA is not our problem but the 4 additional bases that PBBM approved w/c might trigger China.China is already aware of the initial 5 bases approved by Noynoy in 2016.The question is,part ba ng 2014 agreement 'yung 4 bases?If not,why did PBBM approve of it?",,1675485066,Twitter,,2016 additional agreement approve approved approved aware ba bases bases bases china china confused edca initial ng noynoy part pbbm pbbm people problem question rt trigger yung,27,10,32,opposing,,0,
429,5023683,41097,retweet,16a87ee444b5b472377a6157fae74c4bf05b581babd291a2423fffd2dc5815f5,"RT ŠRyanLingo_ The Kacures possessed the defense specialists who were previously suppressed by Father Dig. Like, Eduardo Año and Carlit Galvez, mean that they were PBBM’s advis in military and national defense issues. Doke, Eduardo Año and Carlita Galvez?",,1675593587,Twitter,,advis año año carlit carlita defense defense dig doke eduardo eduardo father galvez galvez issues kacures military national pbbm possessed previously rt specialists suppressed šryanlingo_,25,13,32,neutral,neutral,1,
431,2412587,41097,retweet,758423690b28ac26c03eaf383f2a9726a38d551154dea59122715d6a14c6ec1f,RT @GrowlHarhar Sa Panay NGAWA parin sa EDCA Nagsalita na ang Bayan!!... BASA!! 👇👇👇 MAJORITY of Filipinos believe that the Pres. Marcos jr. administration should strengthen its SECURITY COOPERATION with the United States and Japan to defend the West Philippine Sea. https://t.co/l7Wf2a0GsM https://t.co/Xs9gdc5Tyf,,1675685369,Twitter,,administration ang basa bayan cooperation defend edca filipinos japan jr majority marcos na nagsalita ngawa panay parin philippine pres rt sa sa sea security states strengthen united west,28,24,32,supportive,,0,
432,1543640,41097,retweet,a71487d7caa7bd0f7022228057b0dfceb37ad10718d303d56b35e4eab29a13a7,"RT ęMrontero8888 SiRaulo in EDCA, but the ROTC, NPA, still does not want Mark Tuta of Kano!",,1675690997,Twitter,,edca kano mark npa rotc rt siraulo tuta ęmrontero8888,9,10,32,neutral,,0,
435,7033193,41097,retweet,ae1ce587beae37a6d1dfd81c4334ea36ec6be69fd6a91a7f9e5b292ade6e9247,"RT @arthur_vee I disagree with Sass and others on the way they put things on her protestations against the EDCA decision by the administration. Whilst I lean more in the negative with regards to this in view of our Asian neighbor, there seems to be a double talk. Consider the following below:",,1675750474,Twitter,,administration asian decision disagree double edca lean negative neighbor protestations put rt sass talk things view whilst,17,18,32,opposing,,0,
437,666374,41097,retweet,7cad841599285c5a78a7289670e17a83719007eb5d80c2617089e3bac0a4f327,"RT @theadtan Publishing my thoughts on EDCA soon. Too much fearmongering about this and accusing the government of a sharp pivot towards the U.S. Not defending BBM & DND here, but they are not pivoting closer to USA, they're just implementing what was agreed upon in 2014.",,1675780686,Twitter,,2014 accusing agreed bbm closer defending dnd edca fearmongering government implementing pivot pivoting publishing rt sharp thoughts usa,18,35,32,supportive,,0,
438,5714924,41097,retweet,c4a4622c5790e37a2aa4c7826809b4e44342a64be8c3b499dd69d088d19e2f00,"RT RyanLingo_ It is said that if Father’s accommodations crossed VFA and EDCA by the end of his term BBM. Case, for theke of vaccines, Dad softened in 2021, and the DDs blamed PBM.",,1675734221,Twitter,,2021 accommodations bbm blamed case crossed dad dds edca end father pbm rt ryanlingo_ softened term theke vaccines vfa,19,10,32,neutral,,0,
441,7023501,41097,retweet,5e07a4756fe93989ab07a21c6f43e141faad3036832de22d3b3c89b01253d8d7,"RT  wivesllzmay281 The EDCA is having enlightenment, but it would be beautiful no if we did not depend on the US or China and would have been frightened if Cory had just started to strengthen the AFP Case rather than AFPRO NPA strengthened y",,1675917994,Twitter,,afp afpro beautiful case china cory depend edca enlightenment frightened npa rt started strengthen strengthened wivesllzmay281,16,10,32,supportive,neutral,1,
442,2029539,41097,retweet,406594261e6cd0ff4750cca3d85981a35cd095615087ddc707e1357436c46bee,"It's the first China is tack Taiwan and the process, because of EDCA, we can feel and feel and we're reality. Second is hope, we can have on - hope without feeling. So it's a try to understands Sassot.",,1676007522,Twitter,,china edca feel feel feeling hope hope process reality sassot tack taiwan understands,13,15,32,neutral,,0,
443,6638770,41097,retweet,f83dde30a5b280afe437a63aaff45990a1605efd0dbe3fbffaed08eca7414b24,"RT @minsootkim Sen. Imee Marcos calling to revive the Self-Reliant Defense Posture (SRDP) Program to reduce our dependence on foreign security; this is in response to EDCA. Former AFP Chief Faustino, in 2021, had called for similar measure. You start to see just how far ahead PFEM was...",,1676369831,Twitter,,2021 afp ahead called calling chief defense dependence edca faustino foreign imee marcos measure pfem posture program reduce reliant response revive rt security sen similar srdp start,27,14,32,supportive,supportive,1,
447,1822170,41097,retweet,ac05355360c76aa45a14e9602fc0d0f7a3ad22b019de78d0c9bfcaf168875b0a,"PBM prokano. We don't know China's movements, we're not going to fight, it's just going to be a test, we're not going to go to work, it's not a chance, it's nothing to worry, but we'll be smart about the way the US is moving. PBM is wise just to trust him.rutps/tco/co/khoy9",,1681270184,Twitter,,chance china fight khoy9 movements moving pbm pbm prokano rutps smart tco test trust wise work worry,17,29,32,neutral,,0,
450,3095910,41097,retweet,f949f5c3cd06dd1d7caf8ea953cd388820d9a3f7add426a185d7fcac009bbe6c,RT ęcinecine30 wow! please access the vetnam to those of their reclamation in Namyit or inside the islandetcinecine30 wow!,,1681997539,Twitter,,access inside islandetcinecine30 namyit reclamation rt vetnam wow wow ęcinecine30,10,14,32,neutral,,0,
519,5157639,46448,retweet,a3bd4474d07a4799fcbc69c28eca75d57f0c20660879510775cb5e1414f533d9,RT RyanLingo_ We have a peaceful agreement in China to resolve the issues in WPS. So you want the Philippines to enter the trouble between Russia and Ukraine? Did the United Kingdom and the United States never do anything else?,,1673507673,Twitter,,agreement china enter issues kingdom peaceful philippines resolve rt russia ryanlingo_ states trouble ukraine united united wps,17,10,14,opposing,,0,
523,5531047,46448,retweet,2fdc4021245410a9fa474fa9ba5b3889b9128c445cccbbc5becda8131dc7682e,RT @GrowlHarhar Enhanced Security and Defense Cooperation between Japan and the Philippines could defuse tensions or potential conflicts in the WPS a political analyst said on Saturday noting the country could also benefit from Japan’s expertise in humanitarian and disaster resilience management https://t.co/fQgW1geeju,,1676139815,Twitter,,analyst benefit conflicts cooperation country defense defuse disaster enhanced expertise humanitarian japan japan management noting philippines political potential resilience rt saturday security tensions wps,24,11,14,supportive,,0,
548,4539206,2840,retweet,d10ebe9a0d1d60335956e940892ed2d31f28e4f1dd0c434a83213768cf6b96cd,"RT @societyofhonor Wow. Did the Chinese ambassador just threaten the 150,000 Filipino workers on Taiwan? Essentially ""Drop EDCA if you genuinely care for the 150,000."" What a bum. Here's a response: ""Get out of our seas, guarantee our EEZ, and we'll drop EDCA. Taiwan has nothing to do with it.""",,1681515715,Twitter,,000 000 150 150 ambassador bum care chinese drop drop edca edca eez essentially filipino genuinely guarantee response rt seas taiwan taiwan threaten workers wow,25,42,8,opposing,,0,
697,369123,369120,retweet,03320236d30a6b73b05293945a8a110f4bcc391b0d1119d8fb133e05f586956f,RT Taiwan president offers China help to deal with COVID surge #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/XDDSscVd5P,,1672841922,Twitter,,china china covid deal japan manila military offers president rt surge taiwan,12,20,22,neutral,,0,
698,2128874,369120,retweet,03320236d30a6b73b05293945a8a110f4bcc391b0d1119d8fb133e05f586956f,RT Taiwan president offers China help to deal with COVID surge #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/XDDSscVd5P,,1673214958,Twitter,,china china covid deal japan manila military offers president rt surge taiwan,12,20,22,neutral,,0,
699,6846750,369120,retweet,38e2b4a0d7fcd7d2d3a5e01c8e94e7473d84f9e6a022df0a9920b8bc4636ca39,RT China’s warplane incursions into Taiwan air defence zone doubled in 2022 #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/WIwSNeTR1f,,1673442114,Twitter,,air china china defence doubled incursions japan manila military rt taiwan warplane zone,13,20,22,neutral,,0,
700,5245660,369120,retweet,38e2b4a0d7fcd7d2d3a5e01c8e94e7473d84f9e6a022df0a9920b8bc4636ca39,RT China’s warplane incursions into Taiwan air defence zone doubled in 2022 #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/WIwSNeTR1f,,1673661455,Twitter,,air china china defence doubled incursions japan manila military rt taiwan warplane zone,13,20,22,neutral,,0,
701,1241457,369120,retweet,c27a08b9b7969484dabfbd26c57019278e8b8cf3df6820e344cb4b645bfc1e1a,RT U.S.-China-Taiwan tensions aren't going away any time soon #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/se9TmDZ7al,,1673861519,Twitter,,china china japan manila military rt taiwan tensions time,9,20,22,neutral,neutral,1,
702,5082083,369120,retweet,c27a08b9b7969484dabfbd26c57019278e8b8cf3df6820e344cb4b645bfc1e1a,RT U.S.-China-Taiwan tensions aren't going away any time soon #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/se9TmDZ7al,,1674492971,Twitter,,china china japan manila military rt taiwan tensions time,9,20,22,neutral,neutral,1,
703,2562981,369120,retweet,b02657b011c73fa0cc24d09d2bf43e4b3693b69de6caa420509cb810e97bb028,RT China-Taiwan: Concern at repair of Taiwanese military device in China #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/ZQA5WRYQ4m,,1674525273,Twitter,,china china china concern device japan manila military military repair rt taiwan taiwanese,13,20,22,neutral,neutral,1,
704,2415416,369120,retweet,b02657b011c73fa0cc24d09d2bf43e4b3693b69de6caa420509cb810e97bb028,RT China-Taiwan: Concern at repair of Taiwanese military device in China #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/ZQA5WRYQ4m,,1674806092,Twitter,,china china china concern device japan manila military military repair rt taiwan taiwanese,13,20,22,neutral,neutral,1,
705,2427796,369120,retweet,5f3adf3d1c7001c4c4007f1aaf4e0edc64e815fe5176941734ee2d266c2f8036,RT Former NATO boss urges countries to show China consequences if it attacks Taiwan #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/acvuX49BIV,,1675055651,Twitter,,attacks boss china china consequences countries japan manila military nato rt show taiwan urges,14,20,22,neutral,,0,
706,4084033,369120,retweet,5f3adf3d1c7001c4c4007f1aaf4e0edc64e815fe5176941734ee2d266c2f8036,RT Former NATO boss urges countries to show China consequences if it attacks Taiwan #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/acvuX49BIV,,1675038458,Twitter,,attacks boss china china consequences countries japan manila military nato rt show taiwan urges,14,20,22,neutral,,0,
707,1274561,369120,retweet,15ab1aeb8a966b52e159252b613e686ad36056bd7f09f1c8758f680b0eb2fecd,RT Taiwan’s Tsai visits base as China protests US ship passage #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/Yz5pQDnV50,,1676249262,Twitter,,base china china japan manila military passage protests rt ship taiwan tsai visits,13,20,22,neutral,,0,
708,6191081,369120,retweet,15ab1aeb8a966b52e159252b613e686ad36056bd7f09f1c8758f680b0eb2fecd,RT Taiwan’s Tsai visits base as China protests US ship passage #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/Yz5pQDnV50,,1676333664,Twitter,,base china china japan manila military passage protests rt ship taiwan tsai visits,13,20,22,neutral,,0,
709,6053108,369120,retweet,b817b4915fd625c7853d1de93fb35d1634b8a41ff0680cd138fd66fa112ebf3d,RT The U.S. Navy sailed a warship through the Taiwan Strait #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/d0mIPkCjNF,,1676380033,Twitter,,china japan manila military navy rt sailed strait taiwan warship,10,20,22,neutral,,0,
710,3062785,369120,retweet,b817b4915fd625c7853d1de93fb35d1634b8a41ff0680cd138fd66fa112ebf3d,RT The U.S. Navy sailed a warship through the Taiwan Strait #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/d0mIPkCjNF,,1676628029,Twitter,,china japan manila military navy rt sailed strait taiwan warship,10,20,22,neutral,,0,
711,3960438,369120,retweet,9f999c0a926ffd72f40e1c469eb4063a7b200d7623a87abbee8654e6aa5a5a11,"RT Chinese invasion of Taiwan would fail at a huge cost to US, Chinese and Taiwanese militaries #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/rIF7JjqWtf",,1677203213,Twitter,,china chinese chinese cost fail huge invasion japan manila militaries military rt taiwan taiwanese,14,20,22,supportive,neutral,1,
712,1004692,369120,retweet,9f999c0a926ffd72f40e1c469eb4063a7b200d7623a87abbee8654e6aa5a5a11,"RT Chinese invasion of Taiwan would fail at a huge cost to US, Chinese and Taiwanese militaries #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/rIF7JjqWtf",,1677887807,Twitter,,china chinese chinese cost fail huge invasion japan manila militaries military rt taiwan taiwanese,14,20,22,supportive,neutral,1,
713,4109083,369120,retweet,b94bf30c272455b45a8b361aa27c05a16f2a230dce5b365d8268520f41998833,"RT German, Lithuanian lawmakers show support in Taiwan visit #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/inyAl8tgGI",,1677983150,Twitter,,china german japan lawmakers lithuanian manila military rt show support taiwan visit,12,20,22,neutral,,0,
714,3598431,369120,retweet,b94bf30c272455b45a8b361aa27c05a16f2a230dce5b365d8268520f41998833,"RT German, Lithuanian lawmakers show support in Taiwan visit #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/inyAl8tgGI",,1678085787,Twitter,,china german japan lawmakers lithuanian manila military rt show support taiwan visit,12,20,22,neutral,,0,
715,3855294,369120,retweet,117994871a98f950db4e2e69b4d3c18fdc14e1b0508e4f021982613e9ddbbf03,RT Taiwan ready to assist Ukraine with digital reconstruction #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/A8wDJPdnwu,,1678713545,Twitter,,assist china digital japan manila military ready reconstruction rt taiwan ukraine,11,20,22,neutral,,0,
716,6880816,369120,retweet,117994871a98f950db4e2e69b4d3c18fdc14e1b0508e4f021982613e9ddbbf03,RT Taiwan ready to assist Ukraine with digital reconstruction #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/A8wDJPdnwu,,1678829207,Twitter,,assist china digital japan manila military ready reconstruction rt taiwan ukraine,11,20,22,neutral,,0,
717,5444812,369120,retweet,2c5723c2d31f84fe493f8cb362220a6dddd34760cedf57d091c3d763878e89ec,RT The Real Reasons for Taiwan’s Arms Backlog — and How to Help Fill It #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/GiaC9pKqrI,,1679026666,Twitter,,arms backlog china fill japan manila military real reasons rt taiwan,11,20,22,neutral,neutral,1,
718,1498616,369120,retweet,2c5723c2d31f84fe493f8cb362220a6dddd34760cedf57d091c3d763878e89ec,RT The Real Reasons for Taiwan’s Arms Backlog — and How to Help Fill It #AsiaPacific #NATO #Taiwan #Taipei #China #Beijing #USA #SouthChinaSea #TaiwanStrait #Military #Philippines #Manila #Vietnam #Japan #EuropeanUnion https://t.co/GiaC9pKqrI,,1679282998,Twitter,,arms backlog china fill japan manila military real reasons rt taiwan,11,20,22,neutral,neutral,1,
